suburbtop10exp,Year,Averageexp,suburbwrst,Year,Averagewrst
DONCASTER,2019,955500,HAMILTON,2019,159666.6667
MOUNT MARTHA,2019,939166.6667,MORWELL,2019,161500
MOUNT ELIZA,2019,867500,MOE,2019,167333.3333
ANGLESEA,2019,778333.3333,ARARAT,2019,171500
MULGRAVE,2019,759166.6667,PORTLAND,2019,172333.3333
MORNINGTON,2019,736000,MOOROOPNA,2019,178000
WILLIAMSTOWN NORTH,2019,721833.3333,NUMURKAH,2019,178333.3333
WANTIRNA SOUTH,2019,696166.6667,MARYBOROUGH,2019,180833.3333
SAFETY BEACH,2019,673333.3333,COBRAM,2019,197333.3333
KEYSBOROUGH,2019,624166.6667,KYABRAM,2019,197333.3333
