suburb,Year,House price,Vacant Price,Unit price,Average
ALFREDTON,2015,340500,180000,254000,258166.6667
ALFREDTON,2016,375000,183500,285000,281166.6667
ALFREDTON,2017,412500,152000,290000,284833.3333
ALFREDTON,2018,439000,155000,242000,278666.6667
DONCASTER,2019,1251500,995000,620000,955500
ALTONA NORTH,2015,645000,484000,530000,553000
ALTONA NORTH,2016,726000,416000,532000,558000
ALTONA NORTH,2017,828000,284500,635000,582500
ALTONA NORTH,2018,840000,403500,650000,631166.6667
MOUNT MARTHA,2019,1252500,915000,650000,939166.6667
ANGLESEA,2015,635000,420000,461500,505500
ANGLESEA,2016,652500,380000,570000,534166.6667
ANGLESEA,2017,788000,448000,670000,635333.3333
ANGLESEA,2018,861000,550000,690000,700333.3333
MOUNT ELIZA,2019,1157500,850000,595000,867500
APOLLO BAY,2015,435000,190000,375000,333333.3333
APOLLO BAY,2016,480000,182500,415000,359166.6667
APOLLO BAY,2017,545000,185000,415000,381666.6667
APOLLO BAY,2018,550000,225000,375000,383333.3333
ANGLESEA,2019,905000,675000,755000,778333.3333
ARARAT,2015,210000,83500,170000,154500
ARARAT,2016,204500,50000,191500,148666.6667
ARARAT,2017,200000,97500,133500,143666.6667
ARARAT,2018,199000,99500,209000,169166.6667
MULGRAVE,2019,840000,706500,731000,759166.6667
BACCHUS MARSH,2015,355000,152000,279000,262000
BACCHUS MARSH,2016,376000,148000,287000,270333.3333
BACCHUS MARSH,2017,415500,165000,305000,295166.6667
BACCHUS MARSH,2018,480000,215000,294000,329666.6667
MORNINGTON,2019,800000,765000,643000,736000
BAIRNSDALE,2015,246500,97500,216000,186666.6667
BAIRNSDALE,2016,255000,106000,211500,190833.3333
BAIRNSDALE,2017,270000,107500,225000,200833.3333
BAIRNSDALE,2018,276000,117500,215000,202833.3333
WILLIAMSTOWN NORTH,2019,915000,513000,737500,721833.3333
BALLAN,2015,359000,133000,315000,269000
BALLAN,2016,370000,135000,320000,275000
BALLAN,2017,417000,140000,340000,299000
BALLAN,2018,462000,172500,390000,341500
WANTIRNA SOUTH,2019,988500,605000,495000,696166.6667
BALLARAT EAST,2015,275000,108500,267000,216833.3333
BALLARAT EAST,2016,295000,106000,230000,210333.3333
BALLARAT EAST,2017,310000,142500,272500,241666.6667
BALLARAT EAST,2018,340000,147500,282500,256666.6667
SAFETY BEACH,2019,785000,570000,665000,673333.3333
BEACONSFIELD,2015,559000,200500,400500,386666.6667
BEACONSFIELD,2016,585000,205000,398000,396000
BEACONSFIELD,2017,694500,263000,463000,473500
BEACONSFIELD,2018,730000,277500,460000,489166.6667
KEYSBOROUGH,2019,740000,542000,590500,624166.6667
BELL PARK,2015,340000,125500,293000,252833.3333
BELL PARK,2016,360000,104000,316000,260000
BELL PARK,2017,400000,153000,343000,298666.6667
BELL PARK,2018,452500,167500,392000,337333.3333
BELMONT,2015,395000,180000,310000,295000
BELMONT,2016,430000,129500,300000,286500
BELMONT,2017,500000,450000,356000,435333.3333
BELMONT,2018,545000,220000,388500,384500
BENALLA,2015,222500,104000,186000,170833.3333
BENALLA,2016,231500,100000,181500,171000
BENALLA,2017,250000,96500,185000,177166.6667
BENALLA,2018,284000,113000,185000,194000
BERWICK,2015,535000,289000,425000,416333.3333
BERWICK,2016,583000,331000,427000,447000
BERWICK,2017,670000,385000,492000,515666.6667
BERWICK,2018,691500,455000,515000,553833.3333
BITTERN,2015,382500,41000,355000,259500
BITTERN,2016,464000,315000,340000,373000
BITTERN,2017,526500,320000,433000,426500
BITTERN,2018,650000,560000,497500,569166.6667
BRIGHT,2015,392500,177500,260000,276666.6667
BRIGHT,2016,429500,209000,273000,303833.3333
BRIGHT,2017,495000,229000,349000,357666.6667
BRIGHT,2018,590000,272500,342500,401666.6667
BROOKFIELD,2015,340000,142000,212500,231500
BROOKFIELD,2016,360000,150000,273000,261000
BROOKFIELD,2017,425000,162000,335000,307333.3333
BROOKFIELD,2018,491500,218000,400000,369833.3333
BROWN HILL,2015,270000,162500,249000,227166.6667
BROWN HILL,2016,338000,180000,247500,255166.6667
BROWN HILL,2017,350000,190000,255500,265166.6667
BROWN HILL,2018,405000,182500,285000,290833.3333
BUNDOORA,2015,600500,305000,410000,438500
BUNDOORA,2016,651000,650000,400000,567000
BUNDOORA,2017,754000,685000,430000,623000
BUNDOORA,2018,730000,772500,438500,647000
BUNYIP,2015,420000,154000,270000,281333.3333
BUNYIP,2016,357500,180000,327500,288333.3333
BUNYIP,2017,437500,241500,310000,329666.6667
BUNYIP,2018,550000,275000,250000,358333.3333
CANADIAN,2015,345000,140000,270000,251666.6667
CANADIAN,2016,339000,109500,250000,232833.3333
CANADIAN,2017,334500,125000,279000,246166.6667
CANADIAN,2018,373000,145000,270500,262833.3333
CARRUM DOWNS,2015,370000,225000,319000,304666.6667
CARRUM DOWNS,2016,430000,235000,344000,336333.3333
CARRUM DOWNS,2017,530000,300500,387500,406000
CARRUM DOWNS,2018,575000,375000,430000,460000
CASTLEMAINE,2015,380000,130000,317500,275833.3333
CASTLEMAINE,2016,410000,150000,327500,295833.3333
CASTLEMAINE,2017,435000,181000,332500,316166.6667
CASTLEMAINE,2018,499000,190000,396500,361833.3333
CHIRNSIDE PARK,2015,542500,315500,464000,440666.6667
CHIRNSIDE PARK,2016,627000,408000,476500,503833.3333
CHIRNSIDE PARK,2017,735000,472000,495000,567333.3333
CHIRNSIDE PARK,2018,700000,520000,532500,584166.6667
CLYDE NORTH,2015,410000,230000,211000,283666.6667
CLYDE NORTH,2016,491000,243000,372000,368666.6667
CLYDE NORTH,2017,550000,300000,385000,411666.6667
CLYDE NORTH,2018,600000,336000,460500,465500
